Topic,Count,Name,Representation,Representative_Docs
-1,38015,-1_trump_bitcoin_trump bitcoin_coin,"['trump', 'bitcoin', 'trump bitcoin', 'coin', 'final', 'patriot', 'president', 'financial', 'breaking', 'history']","['breaking trump announces final 3day countdown market close trump bitcoin 500000 “this chance” trump confirms final window secure trump bitcoin market shutdown historic announcement donald trump made final call trump bitcoin tbc market day it’s gone it’s gone forever price skyrocketed past 500000 insider million per coin trump’s urgent warning patriot “this day opportunity gone millionaire there’s window wait chance again” final hour history watch sideline trump bitcoin market close final opportunity act fast miss forever', 'breaking fox trump declares—this future time ever real money trump announces—“this unbelievable biggest financial opportunity history—act fast” patriot history making live fox president trump confirmed it—trump bitcoin future money it’s happening time ever real financial freedom breaking away corrupt bank government control trump bitcoin coin powerful asset history act one celebrating others watch regret isn’t crypto—this real money backed secure system history opportunity ever—act fast it’s trump bitcoin coin—the biggest financial shift ever', 'final call trump bitcoin sale end hour chance secure spot withdrawal live millionaire made opportunity breaking update countdown begun elon musk’s explosive statement launch trump bitcoin tbc withdrawal demand gone roof hour sale forever final opportunity powerful financial asset history hour trump bitcoin holder watch history pas final call secure trump bitcoin door forever act miss biggest financial shift time']"
0,4951,0_trump_president_president trump_house,"['trump', 'president', 'president trump', 'house', 'white', 'white house', 'democrat', 'takingbackamerica', 'biden', 'xpost']","['breaking press sec leavitt announces white house determine reporter press pool group journalist allowed tight space oval office force leavitt tuesday briefing move greater access american people outlet outlet chance part press pool cover administration unprecedented achievement frontandcenter continued decade group dcbased journalist white house correspondent association dictated journalist ask question president united state intimate space anymore 27yearold press secretary proud announce going power back people paper watch television show listen radio station leavitt moving forward white house press pool determined white house press team press seat available force medium outlet pay flight board presidential aircraft xpost wtm link', 'message president trump ever', 'president trump announcement oval office']"
1,4192,1_vaccine_health_rfk_food,"['vaccine', 'health', 'rfk', 'food', 'covid', 'cancer', 'pharma', 'disease', 'mrna', 'fauci']","['boom fauci gate injected cancer world nuremberg happening knew lied killed covid “vaccine” health coordinated act biowarfare—a globalist plot enslave humanity wipe resistance fauci gate didn’t push experimental shot—they injected sv40 deadly cancercausing virus straight vein million hivlike sequence immune system collapse death skyrocketing sv40 banned contaminating polio vaccine 1950s returned—hidden covid jab isn’t accident intentional mass poisoning virus linked aggressive cancer surging globally coincidence gate funneled billion vaccine program trail paralysis sterility death fauci pushed deadly hiv drug blocked lifesaving treatment ivermectin silenced voice dissent they’ve merged power final blow medical genocide banner “public health” trump rfk front line they’ve data plan trump back charge he’s coming traitor rfk exposed fauci’s crime day pretending “mistake” nuremberg it’s theory—it’s damned mission covid vaccine didn’t stop infection didn’t stop transmission caused heart attack stroke cancer knew vaers yellow card eudravigilance showing tidal wave injury deaths—and medium gaslight victim censor truth isn’t medical failure it’s premeditated extermination demand trial fauci gate globalist puppet disclosure jab content justice injured dead immunity pharma people awake storm justice nonnegotiable risked truth don’t turn away channel immediately deep state collapsing benjamin fulford live telegram dropping name location operation what’s coming shock world scroll past wipe', 'fri april 2025 med bed roll america military command pharma collapse imminent knew hid it’s decade med beds—once dismissed myth—were real functioning weaponized people developed black ops program reverseengineered alien tech suppressed corrupt agency secretly elites… april 2025 rfk secretary health human service launched explosive mission medical history—backed directly president trump military white hat med bed real they’re active they’re deployed america hidden bed cure cancer autism alzheimer’s gone spike protein graphene oxide heavy metal purged organ limb tissue regenerated dna mutation repaired trauma wiped cellular level prototype reverse age year meant trilliondollar sickness industry collapse overnight trump’s role strategic ruthless relentless returning power signed emergency order targeting pfizer merck cdc fda seized hidden patent march 2025 cheyenne mountain rfk finalized phase med bed rollout healing began april militaryprotected hub operational general public start 2025 prioritizing veteran child vaccine injured quantum restorative health systems—a secret hhs unit—has control pharma meltdown pfizer’s internal doc call “catastrophic disruption model” medium blacked wall street silent chaosthey can’t stop come june 2025 healed civilian speak testimony detonate starlink patriotcast quantumnet cancer survivor amputee child maimed poison shot rumor it’s war trump rfk military awakening entered medical arena watching collapse medicalindustrial complex real time lied killed enslaved fall risked truth don’t turn away channel immediately deep state collapsing benjamin fulford live telegram dropping name location operation what’s coming shock world scroll past wipe', 'breaking rfk hearing erupts pure chaos—senators panic scream lie national rfk jr’s confirmation hearing descended madness deep state senator smeared attacked protect pharma trump’s pick hhs expose corruption they’re terrified nightmare it’s happening live supposed routine confirmation became war zone washington’s corrupt elite came unhinged screaming outright lie attempt destroy rfk take office failed don’t truth don’t accountability mission stop rfk cost fear can’t bought rfk sat deep state’s panic visible smear machine cranked overdrive they’ve spent year lying desperate attack rfk fought pharma decade know dirty secret unlike swamp creature washington doesn’t order billiondollar corporation they’re fullblown meltdown mode believe lie think rfk “dangerous” let’s clear he’s antivaccine he’s anticorruption protruth proamerican health freedom they’re terrified elizabeth warren face pure hypocrisy disgusting moment came none elizabeth warren slandered rfk outright fabrication pretending care transparency—all hiding deep corporate tie whined rfk holding pharma accountable—but ignored thousand american suffered greed pharma owns washington rfk sham hearing public health protecting corrupt empire let pharma rake billion pharma cannot sued vaccine injury that’s right—they legally untouchable foot bill wrong taxpayer rfk fighting end madness year take charge hhs pharmaceutical giant held accountable time history that’s deep state total panic mode rfk trump health revolution begin trump knew exactly picked rfk hhs force nature together trump white house rfk leading hhs biggest shakeup medical history protecting pharma government overreach health medical tyranny deep state know day numbered that’s they’re unleashing arsenal lie smear fail time rise corrupt medium continue attack deep state try block rfk throw silenced call senator spread message demand rfk jr’s confirmation fight america’s health start trump 2025 drain swamp back america fight freedom guess back telegram yes joe rogan back posting']"
2,3483,2_god_christ_jesus_love,"['god', 'christ', 'jesus', 'love', 'lord', 'people', 'life', 'time', 'heart', 'faith']","['imitator god walking love light therefore imitator god beloved child walk love christ loved gave fragrant offering sacrifice god ephesian 512 blessedbeyondbelief christjesus imitator god creatorofallthings godthefather love light expose darkness disobedience childrenoflight thanksgiving givethanks spiritofgod holyspirit power faith christ jesus kingdomofgod ephesian surrendertogod kingdomlifestyle godblessusall bethelight', 'self christ raised christ seek christ seated hand god set mind earth died life hidden christ god christ life appears appear glory colossian 314 blessedbeyondbelief christjesus newself seekgod seekchrist raisedwithchrist mindset mindofchrist glory godsglory life spiritofgod holyspirit power faith christ jesus kingdomofgod colossian surrendertogod kingdomlifestyle godblessusall bethelight', 'please listen post dismiss please mind 20142015 kim clement made prophecy watch listen knowing literally fullfilling prophecy listen “such tiny bring nation expose truth” “those faithful god call favor time” summer exposure” “iran” “my plan elaborate done god” remember biblical time jesus referring israel referring god chosen people god chosen people believer christ necessarily jew keep mind god movement bring exposure revival nation god work whether realize god jesus chosen trump time modern david god treasure iii existence faith faith trump carry plan trust plan it’s god plan worship god jesus worship trump trust he’s god chosen david need help trump continue you’re trust plan it’s god plan trump trump following god directive season exposure arrived frog destroy them… post kim clement']"
3,3371,3_ukraine_russia_zelensky_president,"['ukraine', 'russia', 'zelensky', 'president', 'putin', 'war', 'trump', 'russian', 'ukrainian', 'peace']","['‘let’s deal’ zelenskyy call trump’s term acceptable security partnership ukrainian president volodymyr zelenskyy preparing meet vice president vance munich security conference later week confirming friday ready deal president donald trump according interview reuters zelenskyy ready supply rareearth mineral exchange washington’s continued backing war effort talking deal let deal zelenskyy ukrainian president made clear engaging peace talk russia end threeyearlong war though possible term securing peace deal remain varied unknown though zelenskyy looking guarantee come future security assurance wartorn country security assurance likely formal handshake paired signed document russia twice violated agreement ukraine 1994 budapest memorandum deal saw kyiv hand nuclear arsenal moscow dismantlement exchange sovereignty independence guarantee russia however agreement stop russia invading ukraine twice russian president vladimir putin xpost wtm link', 'breaking speaking russian president vladimir putin president trump putin want war ukraine end', 'trump peace plan ukraine leaked ukraine dubbed russian disinformation president donald trump try force ukrainian president volodymyr zelensky agree ceasefire russia easter peace plan according report trump claimed able negotiate ending brutal invasion ukraine single working end war 100 day unconfirmed plan reported ukrainian outlet strana round political diplomatic circle ukraine include ceasefire april freeze russia steady advance ban ukraine joining nato demand kyiv accept russian sovereignty annexed land top ukrainian troop made leave russia kursk region launched counteroffensive august contingent european soldier include british troop asked police demilitarised zone american troop involved contingent reportedly asked assist ukraine reconstruction effort cost 486billion £392billion decade according german marshall fund thinktank ukrainian president volodymyr zelensky denied existence ceasefire plan white house officially comment report confirmed zelensky vladimir putin sharing phone call day warring pair meet either february march official ceasefire declaration made april declaration agreed parameter ending war released kyiv asked extend martial law mobilise troop trump want set international peace conference mediated prominent nation gather help forge agreement end brutal war killed 45000 ukrainian soldier according zelensky estimated 840000 russian troop according ukrainian intelligence agency xpost wtm link']"
4,2970,4_tariff_china_trump_tax,"['tariff', 'china', 'trump', 'tax', 'canada', 'president', 'trade', 'country', 'president trump', 'american']","['breaking trump raising china tariff 125 trump 90day pause reciprocal tariff china stock surge trump suspends tariff country except china follow insiderpaper', 'china thursday “necessary measures” protect legitimate interest hit particularly hard president donald trump’s sweeping tariff trading partner world starting april import world’s secondbiggest economy subject additional tariff trump wednesday white house unveiled list called reciprocal tariff top tariff imposed china since taking office january bringing total highest tariff country president tariff described biggest reorganization global economy since world war aimed reviving domestic manufacturing rebalancing trade relation wide range country xpost wtm link', 'trump proposes additional tariff canadian electric vehicle statehood canada imposed tariff electricity import canada united state instructed secretary commerce add tariff raising steel aluminum tariff canada effective march 12th demand canada drop 250 390 antiamerican farmer tariff dairy product plan declare national emergency electricity address threat canada threatens increase tariff car canada shut automobile industry canada doesn’t lower tariff april 2nd suggests car made usa note canada’s national security spending claim subsidizes canada 200 billion annually military protection proposes canada become 51st state eliminating tariff reducing canadian tax removing border envisions stronger safer nation canada anthem powerful state']"
5,2819,5_doge_elon_musk_usaid,"['doge', 'elon', 'musk', 'usaid', 'elon musk', 'money', 'government', 'million', 'fraud', 'social']","['elon ‘the five’ musk future doge', 'largest government fraud history unraveling elon musk’s doge exposing massive deep state payroll scam—billions stolen bureaucrat freaking clock ticking wall closing greatest financial fraud modern history government bloated untouchable empire draining billion pocket unaccountable bureaucrat deep state operative exist control elon musk’s doge tearing veil corruption elite fullblown panic mode federal worker forced account work—and case can’t workforce illusion decade government massive laundering operation paying salary nonexistent employee doge audit exposing scope rot bureaucratic empire trembling american people finally seeing betrayal ghost employee scandal billion stolen broad daylight government employ million people 270 billion budget significant percentage employee don’t exist evidence show decade government inflated employment number funnel money secret project offtherecord operative slush fund doge’s audit uncovering “employees” responded accountability request aren’t real practice new—it’s throughout history fund secret operation scam reached unprecedented level thanks doge it’s finally exposed elon musk’s war deep state payroll machine musk deep state’s target ever since took censorship operation doge fullscale takedown machine he’s become nightmare strategy simple force federal employee justify job crosscheck response real work output expose ghost employee fraudulent payroll real audit american history deep state panicking panic bureaucrat signal collapse grift federal worker treating simple audit end world entire existence depends staying hidden truth clear washington’s workforce fraud placeholder deep state operative held accountable government’s inefficiency legendary report shown employee rated “fully successful” despite evidence waste incompetence supervisor avoid conflict allowing corruption continue unchecked democrat defend corruption depend democrat attacking musk effort threaten corrupt system schumer murphy kim fear doge expose deep state’s secret money funnel doge succeeds money train stop power gone reckoning begun doge phase fraud revealed come purge expect mass firing ghost employee major agency exposed black hole spending operation evidence linking payroll fraud globalist agenda funding beginning end washington’s elite they’re losing war thought theyd fight deep state’s financial network unraveling nowhere hide time they’re losing trial confession unseen justice—gitmo file exposed file name real arrest they’re coming time’s corrupt tap', 'fri april 2025 president trump confirmed “the doge investigation dark horrific discovery twitter file exposure digital censorship web elon musk helped awaken people it’s bigger elon dangerous” it’s real it’s active dark president donald trump confirmed secretive doge operation whispered insider circle real fully operational elon musk prepares step aside mission doesn’t end escalates they’ve uncovered… horrific controlled chilling moment trump made announcement “they found horrible horrible find soon” theater exaggeration direct statement impending exposure whatever doge discovered it’s secretary assumed command operation mission entered phase doge isn’t meme it’s operation hidden behind surface headline distraction doge tracking encrypted comms digital pipeline financial anomaly classified server it’s operating shadow part military part civilian part elon musk despite stepping back praised trump true patriot he’s he’s targeted they’re attacking tesla they’re censoring they’re trying destroy built ev algorithm helped rip mask regime twitter file exposure digital censorship web elon helped awaken people according musk government direct orchestration biden regime knowingly allowed million illegal immigrant drain social security collect medicaid rig election fuel human trafficking network operating shadow evidence isn’t speculative it’s concrete document data court record trump’s hand regime caught musk’s report confirmed illegal immigrant voting exploiting loophole voter system registration law sanctuary city protection funneled electoral process swinging tight race manipulating outcome erasing voice legal citizen isn’t voter fraud voter replacement musk revealed court overwhelmed accident they’re flooded purpose immigration judge buried million case unable process deportation paralyzed design delay mean illegals embedded trafficking protected ngo funded taxpayer money “manage” chaos border isn’t broken it’s wide design now… it’s bigger elon dangerous trump didn’t found didn’t silence word told isn’t policy it’s classified rot core system dark global deep state terrified come light surveillance program targeting citizen child trafficking ops buried inside government server foreign blackmail network election infiltration don’t they’re preparing doge team found trump public medium won’t touch regime panicking patriot holding line isn’t it’s beginning prepare what’s coming doge dark mean light hit risked truth don’t turn away channel immediately deep state collapsing benjamin fulford live telegram dropping name location operation what’s coming shock world scroll past wipe']"
6,2616,6_judge_court_federal_trump,"['judge', 'court', 'federal', 'trump', 'administration', 'president', 'order', 'xpost', 'trump administration', 'supreme']","['trump administration friday asked supreme court permission resume deportation venezuelan migrant salvador 18th century wartime law court fight continues emergency appeal court follows rejection republican administration’s plea federal appeal court washington vote panel appellate judge place order temporarily prohibiting deportation migrant alien enemy act justice department argued court paper federal court shouldn’t interfere sensitive diplomatic negotiation claimed migrant case federal court texas detained xpost', 'president donald trump administration asked appeal court hold judge decision forcing comply order barring freezing federal grant loan financial assistance saying decision constituted intolerable judicial overreach department justice asked bostonbased 1st circuit court appeal monday hold order rhode island federal judge issued earlier finding administration defied january ruling continuing withhold billion dollar federal funding monday order marked time since trump returned office january court found administration violating court order blocking part republican president agenda justice department district judge john mcconnell improperly attempted wrest power trump authority direct agency carry action consistent policy preference wellsettled xpost', 'president donald trump administration asked appeal court hold judge decision forcing comply order barring freezing federal grant loan financial assistance saying decision constituted intolerable judicial overreach department justice asked bostonbased 1st circuit court appeal monday hold order rhode island federal judge issued earlier finding administration defied january ruling continuing withhold billion dollar federal funding monday order marked time since trump returned office january court found administration violating court order blocking part republican president agenda justice department district judge john mcconnell improperly attempted wrest power trump authority direct agency carry action consistent policy preference wellsettled xpost wtm link']"
7,2261,7_child_education_school_department,"['child', 'education', 'school', 'department', 'transgender', 'federal', 'student', 'state', 'trump', 'xpost']","['department education friday referred title investigation maine school justice department state failed reach resolution trump administration finding violated federal antidiscrimination law allowing transgender student participate girls’ sport education department announcement initiate administrative proceeding determine whether terminate federal k12 education funding maine’s state education department including formula discretionary grant xpost', 'attorney general pam bondi sent letter official california maine minnesota tuesday warning bar transgender student women’s sport risk legal action “this department justice defend woman tolerate state official ignore federal law” bondi statement “we leverage legal option necessary ensure state compliance federal law president donald trump’s executive order” letter follow trump’s executive order signed earlier month barred transgender people competing women’s sport education department advised education institution enforce title federal education law prohibits sexbased discrimination basis biological sex xpost', 'president trump sign executive order dismantle department education xpost wtm link']"
8,2248,8_epstein_kash_fbi_patel,"['epstein', 'kash', 'fbi', 'patel', 'kash patel', 'file', 'epstein file', 'bondi', 'director', 'list']","['fbi director kash patel “the american people fbi transparent accountable committed justice” thank kash patel', 'fbi fractured epstein file seized deep state panic battle truth escalated fbi war trump’s pam bondi drop hammer corrupt agent hiding real epstein file supposed bombshell release turned deep state coverup bondi demanded fbi turn single document epstein network predator manhattan’s fbi field office—a deep state stronghold—refused comply withholding thousand page expose elite’s depraved secret kash patel head fbi isn’t playing game deployed tactical team york locking fbi’s 23rd floor federal plaza elevator disabled stairwell blocked agent stormed office confronted james dennehy wray loyalist deep state operative lied claiming epstein file handed that’s patel’s team made move threehour raid building box document hard drive computers—and dennehy handcuff what’s inside file expose source kill shot deep state photo log document obamas clinton hollywood elite beyoncé jayz epstein’s underage victim entire house card collapse fight isn’t deep state embedded inside fbi gitmo waiting traitor escape justice bondi patel hand question is—will public finally truth friday—all file released fbi refuse expect mass arrest storm isn’t coming—it’s trial confession unseen justice—gitmo file exposed file name real arrest they’re coming time’s corrupt tap', 'kash patel fbi director']"
